lat,long,hot,cold,tz
 27,-1.351402e+02,NA,NA,NA
 27,-1.340187e+02,NA,NA,NA
 27,-1.328972e+02,NA,NA,NA
 27,-1.317757e+02,NA,NA,NA
 27,-1.306542e+02,NA,NA,NA
 27,-1.295327e+02,NA,NA,NA
 27,-1.284112e+02,NA,NA,NA
 27,-1.272897e+02,NA,NA,NA
 27,-1.261682e+02,NA,NA,NA
 27,-1.250467e+02,NA,NA,NA
 27,-1.239252e+02,NA,NA,NA
 27,-1.228037e+02,NA,NA,NA
 27,-1.216822e+02,NA,NA,NA
 27,-1.205607e+02,NA,NA,NA
 27,-1.194393e+02,NA,NA,NA
 27,-1.183178e+02,NA,NA,NA
 27,-1.171963e+02,NA,NA,NA
 27,-1.160748e+02,NA,NA,NA
 27,-1.149533e+02,NA,NA,NA
 27,-1.138318e+02,NA,NA,NA
 27,-1.127103e+02,NA,NA,NA
 27,-1.115888e+02,NA,NA,NA
 27,-1.104673e+02,NA,NA,NA
 27,-1.093458e+02,NA,NA,NA
 27,-1.082243e+02,NA,NA,NA
 27,-1.071028e+02,NA,NA,NA
 27,-1.059813e+02,NA,NA,NA
 27,-1.048598e+02,NA,NA,NA
 27,-1.037383e+02,NA,NA,NA
 27,-1.026168e+02,NA,NA,NA
 27,-1.014953e+02,NA,NA,NA
 27,-1.003738e+02,NA,NA,NA
 27,-9.925234e+01,NA,NA,NA
 27,-9.813084e+01,NA,NA,NA
 27,-9.700935e+01,NA,NA,NA
 27,-9.588785e+01,NA,NA,NA
 27,-9.476636e+01,NA,NA,NA
 27,-9.364486e+01,NA,NA,NA
 27,-9.252336e+01,NA,NA,NA
 27,-9.140187e+01,NA,NA,NA
 27,-9.028037e+01,NA,NA,NA
 27,-8.915888e+01,NA,NA,NA
 27,-8.803738e+01,NA,NA,NA
 27,-8.691589e+01,NA,NA,NA
 27,-8.579439e+01,NA,NA,NA
 27,-8.467290e+01,NA,NA,NA
 27,-8.355140e+01,NA,NA,NA
 27,-8.242991e+01,NA,NA,NA
 27,-8.130841e+01,NA,NA,NA
 27,-8.018692e+01,NA,NA,NA
 27,-7.906542e+01,NA,NA,NA
 27,-7.794393e+01,NA,NA,NA
 27,-7.682243e+01,NA,NA,NA
 27,-7.570093e+01,NA,NA,NA
 27,-7.457944e+01,NA,NA,NA
 27,-7.345794e+01,NA,NA,NA
 27,-7.233645e+01,NA,NA,NA
 27,-7.121495e+01,NA,NA,NA
 27,-7.009346e+01,NA,NA,NA
 27,-6.897196e+01,NA,NA,NA
 27,-6.785047e+01,NA,NA,NA
 27,-6.672897e+01,NA,NA,NA
 27,-6.560748e+01,NA,NA,NA
 27,-6.448598e+01,NA,NA,NA
 27,-6.336449e+01,NA,NA,NA
 27,-6.224299e+01,NA,NA,NA
 27,-6.112150e+01,NA,NA,NA
 27,-6.000000e+01,NA,NA,NA
 27,-5.887850e+01,NA,NA,NA
 27,-5.775701e+01,NA,NA,NA
 27,-5.663551e+01,NA,NA,NA
 27,-5.551402e+01,NA,NA,NA
 27,-5.439252e+01,NA,NA,NA
 27,-5.327103e+01,NA,NA,NA
 27,-5.214953e+01,NA,NA,NA
 27,-5.102804e+01,NA,NA,NA
 27,-4.990654e+01,NA,NA,NA
 27,-4.878505e+01,NA,NA,NA
 27,-4.766355e+01,NA,NA,NA
 27,-4.654206e+01,NA,NA,NA
 27,-4.542056e+01,NA,NA,NA
 27,-4.429907e+01,NA,NA,NA
 27,-4.317757e+01,NA,NA,NA
 27,-4.205607e+01,NA,NA,NA
 27,-4.093458e+01,NA,NA,NA
 27,-3.981308e+01,NA,NA,NA
 27,-3.869159e+01,NA,NA,NA
 27,-3.757009e+01,NA,NA,NA
 27,-3.644860e+01,NA,NA,NA
 27,-3.532710e+01,NA,NA,NA
 27,-3.420561e+01,NA,NA,NA
 27,-3.308411e+01,NA,NA,NA
 27,-3.196262e+01,NA,NA,NA
 27,-3.084112e+01,NA,NA,NA
 27,-2.971963e+01,NA,NA,NA
 27,-2.859813e+01,NA,NA,NA
 27,-2.747664e+01,NA,NA,NA
 27,-2.635514e+01,NA,NA,NA
 27,-2.523364e+01,NA,NA,NA
 27,-2.411215e+01,NA,NA,NA
 27,-2.299065e+01,NA,NA,NA
 27,-2.186916e+01,NA,NA,NA
 27,-2.074766e+01,NA,NA,NA
 27,-1.962617e+01,NA,NA,NA
 27,-1.850467e+01,NA,NA,NA
 27,-1.738318e+01,NA,NA,NA
 27,-1.626168e+01,NA,NA,NA
 27,-1.514019e+01,NA,NA,NA
 27,-1.401869e+01,NA,NA,NA
 27,-1.289720e+01,NA,NA,NA
 27,-1.177570e+01,NA,NA,NA
 27,-1.065421e+01,NA,NA,NA
 27,-9.532710e+00,NA,NA,NA
 27,-8.411215e+00,NA,NA,NA
 27,-7.289720e+00,NA,NA,NA
 27,-6.168224e+00,NA,NA,NA
 27,-5.046729e+00,NA,NA,NA
